"accession","length","host","protein","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"AHM98504","566","Human","HA","H1N1","Denmark","N","2011/01/25","Influenza A virus (A/Aarhus/INS3_653/2011(H1N1))","","","","","","c"
"AHM98526","566","Human","HA","H1N1","Denmark","N","2011/02/07","Influenza A virus (A/Aarhus/INS3_655/2011(H1N1))","","","","","","c"
"AGB13590","566","Human","HA","H1N1","Denmark","N","2011/01/20","Influenza A virus (A/Aarhus/INS613/2011(H1N1))","","","","","","c"
"AGB13600","566","Human","HA","H1N1","Denmark","N","2011/02/04","Influenza A virus (A/Aarhus/INS615/2011(H1N1))","","","","","","c"
"AND61352","566","Human","HA","H1N1","Turkey","N","2015/12/11","Influenza A virus (A/Adana/01/2015(H1N1))","","","","","","c"
"ANH21811","566","Human","HA","H1N1","Turkey","N","2015/12/30","Influenza A virus (A/Adana/07/2015(H1N1))","","","","","","c"
"AND61372","566","Human","HA","H1N1","Turkey","N","2015/01/31","Influenza A virus (A/Adana/08/2015(H1N1))","","","","","","c"
"AND61373","566","Human","HA","H1N1","Turkey","N","2016/01/04","Influenza A virus (A/Adana/11/2016(H1N1))","","","","","","c"
"AND61377","566","Human","HA","H1N1","Turkey","N","2016/01/04","Influenza A virus (A/Adana/15/2016(H1N1))","","","","","","c"
"AHH25283","566","Human","HA","H1N1","Cote d'Ivoire","T","2012/05/22","Influenza A virus (A/Adjame/GR-558/2012(H1N1))","","","","","","nc"
"APO40380","566","Human","HA","H1N1","Iran","N","2015/04/09","Influenza A virus (A/Ahvaz/106899/2015(H1N1))","","","","","","c"
"AGI53225","566","Human","HA","H1N1","USA","N","2010/01/04","Influenza A virus (A/Alabama/01/2010(H1N1))","","","","","","c"
"AGI54953","566","Human","HA","H1N1","USA","N","2010/01/04","Influenza A virus (A/Alabama/01/2010(H1N1))","","","","","","c"
"ANE29019","566","Human","HA","H1N1","USA","N","2016/01/11","Influenza A virus (A/Alabama/01/2016(H1N1))","","","","","","c"
"AGK73256","566","Human","HA","H1N1","USA","N","2011/01/04","Influenza A virus (A/Alabama/02/2011(H1N1))","","","","","","c"
"AGI53966","566","Human","HA","H1N1","USA","N","2010/03/01","Influenza A virus (A/Alabama/03/2010(H1N1))","","","","","","c"
"AGI53975","566","Human","HA","H1N1","USA","N","2010/03/15","Influenza A virus (A/Alabama/04/2010(H1N1))","","","","","","c"
"AGV28761","566","Human","HA","H1N1","USA","N","2013/02/25","Influenza A virus (A/Alabama/04/2013(H1N1))","","","","","","c"
"AGI53998","566","Human","HA","H1N1","USA","N","2010/07/19","Influenza A virus (A/Alabama/06/2010(H1N1))","","","","","","c"
"AGQ16248","566","Human","HA","H1N1","USA","N","2013/04/19","Influenza A virus (A/Alabama/3317/2013(H1N1))","","","","","","c"
"AIC73739","566","Human","HA","H1N1","USA","N","2014/02/27","Influenza A virus (A/Alabama/3717/2014(H1N1))","","","","","","c"
"AIC73740","566","Human","HA","H1N1","USA","N","2014/03/19","Influenza A virus (A/Alabama/3718/2014(H1N1))","","","","","","c"
"APF45875","566","Human","HA","H1N1","USA","N","2016/02/09","Influenza A virus (A/Alabama/4964/2016(H1N1))","","","","","","c"
"APF46400","566","Human","HA","H1N1","USA","N","2016/02/19","Influenza A virus (A/Alabama/4995/2016(H1N1))","","","","","","c"
"APF46401","566","Human","HA","H1N1","USA","N","2016/02/22","Influenza A virus (A/Alabama/4996/2016(H1N1))","","","","","","c"
"APG55935","566","Human","HA","H1N1","USA","N","2016/03/04","Influenza A virus (A/Alabama/5101/2016(H1N1))","","","","","","c"
"APQ44646","566","Human","HA","H1N1","USA","N","2016/03/22","Influenza A virus (A/Alabama/5358/2016(H1N1))","","","","","","c"
"APR73818","566","Human","HA","H1N1","USA","N","2016/03/09","Influenza A virus (A/Alabama/5431/2016(H1N1))","","","","","","c"
"ADM23841","566","Human","HA","H1N1","Brazil","T","2010/03/05","Influenza A virus (A/Alagoas/115/2010(H1N1))","","","","","","c"
"ADM23842","566","Human","HA","H1N1","Brazil","T","2010/03/10","Influenza A virus (A/Alagoas/119/2010(H1N1))","","","","","","c"
"ADM23844","566","Human","HA","H1N1","Brazil","T","2010/03/13","Influenza A virus (A/Alagoas/143/2010(H1N1))","","","","","","c"
"ADM23846","566","Human","HA","H1N1","Brazil","T","2010/03/24","Influenza A virus (A/Alagoas/171/2010(H1N1))","","","","","","c"
"ADM23847","566","Human","HA","H1N1","Brazil","T","2010/03/26","Influenza A virus (A/Alagoas/201/2010(H1N1))","","","","","","c"
"ADM23849","566","Human","HA","H1N1","Brazil","T","2010/03/02","Influenza A virus (A/Alagoas/96/2010(H1N1))","","","","","","c"
"AGL04821","566","Human","HA","H1N1","USA","N","2012/03/14","Influenza A virus (A/Alaska/01/2012(H1N1))","","","","","","c"
"AKT08161","566","Human","HA","H1N1","USA","N","2014/01/14","Influenza A virus (A/Alaska/02/2014(H1N1))","","","","","","c"
"AIM39724","566","Human","HA","H1N1","USA","N","2014/04/18","Influenza A virus (A/Alaska/07/2014(H1N1))","","","","","","c"
"AGK72600","566","Human","HA","H1N1","USA","N","2011/01/14","Influenza A virus (A/Alaska/08/2011(H1N1))","","","","","","c"
"AGK72874","566","Human","HA","H1N1","USA","N","2011/02/06","Influenza A virus (A/Alaska/09/2011(H1N1))","","","","","","c"
"AGK72683","566","Human","HA","H1N1","USA","N","2011/03/09","Influenza A virus (A/Alaska/11/2011(H1N1))","","","","","","c"
"AGK72887","566","Human","HA","H1N1","USA","N","2011/03/30","Influenza A virus (A/Alaska/14/2011(H1N1))","","","","","","c"
"APC58388","566","Human","HA","H1N1","USA","N","2016","Influenza A virus (A/Alaska/15/2016(H1N1))","","","","","","c"
"APC58399","566","Human","HA","H1N1","USA","N","2016","Influenza A virus (A/Alaska/16/2016(H1N1))","","","","","","c"
"AHG96341","566","Human","HA","H1N1","USA","N","2013/12/06","Influenza A virus (A/Alaska/3506/2013(H1N1))","","","","","","c"
"AHV83768","566","Human","HA","H1N1","USA","N","2013/12/25","Influenza A virus (A/Alaska/3527/2013(H1N1))","","","","","","c"
"ALH26637","566","Human","HA","H1N1","USA","N","2014/08/05","Influenza A virus (A/Alaska/36/2014(H1N1))","","","","","","c"
"ALH26757","566","Human","HA","H1N1","USA","N","2014/08/05","Influenza A virus (A/Alaska/36/2014(H1N1))","","","","","","c"
"AGW26989","566","Human","HA","H1N1","Canada","N","2012/03/01","Influenza A virus (A/Alberta/023/2012(H1N1))","","","","","","c"
"AGJ73351","566","Human","HA","H1N1","Iran","N","2011/01/03","Influenza A virus (A/Alborz/5293/2011(H1N1))","","","","","","c"
"AGJ73367","566","Human","HA","H1N1","Iran","N","2011/03/09","Influenza A virus (A/Alborz/5733/2011(H1N1))","","","","","","c"
"AGJ73335","566","Human","HA","H1N1","Iran","N","2011/01/01","Influenza A virus (A/Alborz/99/2011(H1N1))","","","","","","c"
"AEM92508","566","Human","HA","H1N1","Jordan","N","2010/12/23","Influenza A virus (A/Amman/WRAIR3448N/2010(H1N1))","","","","","","c"
"AFM78646","566","Human","HA","H1N1","China","N","2010/01/14","Influenza A virus (A/Anhui/1225/2010(H1N1))","","","","","","c"
"AEO08998","566","Human","HA","H1N1","Turkey","N","2010/12","Influenza A virus (A/Ankara/01/2010(H1N1))","","","","","","c"
"AGB08404","566","Human","HA","H1N1","Turkey","N","2010/12","Influenza A virus (A/Ankara/03/2010(H1N1))","","","","","","c"
"AND61356","566","Human","HA","H1N1","Turkey","N","2015/12/22","Influenza A virus (A/Ankara/03/2015(H1N1))","","","","","","c"
"AND61357","566","Human","HA","H1N1","Turkey","N","2015/12/22","Influenza A virus (A/Ankara/04/2015(H1N1))","","","","","","c"
"AGI54067","566","Human","HA","H1N1","USA","N","2010/01/16","Influenza A virus (A/Arizona/01/2010(H1N1))","","","","","","c"
"AGV28935","566","Human","HA","H1N1","USA","N","2013/01/14","Influenza A virus (A/Arizona/01/2013(H1N1))","","","","","","c"
"AKT08100","566","Human","HA","H1N1","USA","N","2014/01/04","Influenza A virus (A/Arizona/01/2014(H1N1))","","","","","","c"
