Name,Sequence Accession,Complete Genome,Segment,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name,
HA,JX308949,Yes,4,1777,H1N1,01/04/2010,IRD:Human,Singapore,-N/A-,-N/A-,A/Singapore/GP10/2010,
HA,JQ624642,No,4,1721,H1N1,08/03/2011,IRD:Human,Australia,-N/A-,-N/A-,A/Sydney/IM1/2011,
HA,KT426698,No,4,1701,H1N1,01/28/2015,IRD:Human,India,-N/A-,-N/A-,A/Bhopal/3500/2015,
HA,KP317269,No,4,1701,H1N1,03/09/2012,IRD:Human,India,-N/A-,-N/A-,A/Delhi/065/2012,
HA,KP317233,No,4,1701,H1N1,08/15/2010,IRD:Human,India,-N/A-,-N/A-,A/Haryana/029/2010,
HA,AB898075,No,4,1701,H1N1,02/14/2011,IRD:Human,Japan,-N/A-,10-11,A/Yamagata/203/2011,
HA,JF929771,No,4,1701,H1N1,02/21/2011,IRD:Human,China,-N/A-,-N/A-,A/Guangdong/029/2011,
HA,JQ693492,No,4,1746,H1N1,10/25/2011,IRD:Human,Czech Republic,-N/A-,11-12,A/Czech Republic/112/2011(H1N1),
HA,JQ796824,No,4,1701,H1N1,01/24/2011,IRD:Human,China,-N/A-,-N/A-,A/Zhejiang/TZ41/2011,
HA,KP317294,No,4,1701,H1N1,02/26/2013,IRD:Human,India,-N/A-,-N/A-,A/Uttar Pradesh/090/2013,
HA,KP317295,No,4,1701,H1N1,02/28/2013,IRD:Human,India,-N/A-,-N/A-,A/Uttar Pradesh/091/2013,
HA,CY103853,No,4,1701,H1N1,02/20/2011,IRD:Human,Russia,-N/A-,10-11,A/Tomsk/18/2011,
HA,JQ796826,No,4,1701,H1N1,01/2011,IRD:Human,China,-N/A-,-N/A-,A/Zhejiang/JH11/2011,
HA,JF929757,No,4,1701,H1N1,09/20/2010,IRD:Human,China,-N/A-,-N/A-,A/Guangdong/420/2010,
HA,CY093032,Yes,4,1734,H1N1,08/16/2010,IRD:Human,Chile,-N/A-,-N/A-,A/Chile/71/2010,
HA,CY065027,Yes,4,1733,H1N1,01/27/2010,IRD:Human,USA,New York,09-10,A/New York/3835/2010(H1N1),
HA,CY064987,Yes,4,1734,H1N1,02/02/2010,IRD:Human,USA,California,09-10,A/California/VRDL6/2010(H1N1),
HA,CY065043,Yes,4,1734,H1N1,02/04/2010,IRD:Human,USA,New York,09-10,A/New York/4294/2010(H1N1),
HA,HQ595291,No,4,1701,H1N1,03/31/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Piaui/23931/2010,
HA,HQ595293,No,4,1701,H1N1,05/21/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Sao Paulo/45221/2010,
HA,CY098563,Yes,4,1734,H1N1,09/22/2010,IRD:Human,Thailand,-N/A-,-N/A-,A/Bangkok/INS520/2010,
HA,CY061147,Yes,4,1721,H1N1,01/12/2010,IRD:Human,USA,Texas,09-10,A/Texas/JMS408/2010(H1N1),
HA,CY061195,Yes,4,1734,H1N1,02/04/2010,IRD:Human,USA,Texas,09-10,A/Texas/JMS414/2010(H1N1),
HA,CY089379,Yes,4,1734,H1N1,03/25/2010,IRD:Human,Nicaragua,-N/A-,-N/A-,A/Managua/3246.01/2010(H1N1),
HA,JQ396239,No,4,1777,H1N1,04/18/2011,IRD:Human,Kenya,-N/A-,-N/A-,A/Kenya/146/2011,
HA,JQ396233,No,4,1777,H1N1,08/01/2011,IRD:Human,Kenya,-N/A-,-N/A-,A/Kenya/136/2011,
HA,CY065019,Yes,4,1734,H1N1,01/27/2010,IRD:Human,USA,New York,09-10,A/New York/3834/2010(H1N1),
HA,CY065107,Yes,4,1734,H1N1,03/01/2010,IRD:Human,USA,New York,09-10,A/New York/7480/2010(H1N1),
HA,CY091716,Yes,4,1755,H1N1,02/25/2011,IRD:Human,Singapore,-N/A-,-N/A-,A/Singapore/TT160/2011,
HA,CY065059,Yes,4,1739,H1N1,02/21/2010,IRD:Human,USA,New York,09-10,A/New York/6530/2010(H1N1),
HA,AB551871,No,4,1701,H1N1,01/04/2010,IRD:Human,Japan,-N/A-,09-10,A/Nagasaki/HA-10-1/2010(H1N1),
HA,AB551873,No,4,1701,H1N1,01/04/2010,IRD:Human,Japan,-N/A-,09-10,A/Nagasaki/HA-10-3/2010(H1N1),
HA,AB551875,No,4,1701,H1N1,01/12/2010,IRD:Human,Japan,-N/A-,09-10,A/Nagasaki/HA-10-5/2010(H1N1),
HA,AB551877,No,4,1701,H1N1,01/12/2010,IRD:Human,Japan,-N/A-,09-10,A/Nagasaki/HA-10-7/2010(H1N1),
HA,AB551883,No,4,1701,H1N1,01/20/2010,IRD:Human,Japan,-N/A-,09-10,A/Nagasaki/HA-10-69/2010(H1N1),
HA,AB551880,No,4,1701,H1N1,01/12/2010,IRD:Human,Japan,-N/A-,09-10,A/Nagasaki/HA-10-11/2010(H1N1),
HA,AB551881,No,4,1701,H1N1,01/18/2010,IRD:Human,Japan,-N/A-,09-10,A/Nagasaki/HA-10-12/2010(H1N1),
HA,KU695608,No,4,1745,H1N1,02/2015,IRD:Human,India,-N/A-,-N/A-,A/India/Kol-4651/2015,
HA,CY060454,No,4,1701,H1N1,01/2010,IRD:Human,South Korea,-N/A-,09-10,A/Seoul/7/2010(H1N1),
HA,CY062162,Yes,4,1734,H1N1,01/25/2010,IRD:Human,USA,New York,09-10,A/New York/3230/2010(H1N1),
HA,CY062979,Yes,4,1721,H1N1,01/05/2010,IRD:Human,Germany,-N/A-,09-10,A/Bonn/INS178/2010(H1N1),
HA,AB558546,No,4,1701,H1N1,03/08/2010,IRD:Human,Japan,-N/A-,09-10,A/Nagasaki/HA-10-25/2010(H1N1),
HA,AB558550,No,4,1701,H1N1,03/29/2010,IRD:Human,Japan,-N/A-,09-10,A/Nagasaki/HA-10-30/2010(H1N1),
HA,AB558542,No,4,1701,H1N1,02/22/2010,IRD:Human,Japan,-N/A-,09-10,A/Nagasaki/HA-10-20/2010(H1N1),
HA,CY062098,Yes,4,1721,H1N1,01/19/2010,IRD:Human,USA,New York,09-10,A/New York/2175/2010(H1N1),
HA,AB558544,No,4,1701,H1N1,03/01/2010,IRD:Human,Japan,-N/A-,09-10,A/Nagasaki/HA-10-22/2010(H1N1),
HA,AB558547,No,4,1701,H1N1,03/15/2010,IRD:Human,Japan,-N/A-,09-10,A/Nagasaki/HA-10-26/2010(H1N1),
