accession,release_date,length,genotype,segment,protein,geo_location,country,collection_date,genbank_title
AEO08998.1,2011-09-12T00:00:00Z,566,H1N1,4,hemagglutinin,Turkey: Ankara,Turkey,2010-12,hemagglutinin [Influenza A virus (A/Ankara/01/2010(H1N1))]
AEO19895.1,2011-09-14T00:00:00Z,469,H1N1,6,neuraminidase,Canada,Canada,12/30/2010,neuraminidase [Influenza A virus (A/Ontario/842001/2010(H1N1))]
AEP71334.1,2011-10-08T00:00:00Z,759,H1N1,1,polymerase PB2,Russia,Russia,2/22/2011,polymerase PB2 [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEP71335.1,2011-10-08T00:00:00Z,757,H1N1,2,polymerase PB1,Russia,Russia,2/22/2011,polymerase PB1 [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEP71336.1,2011-10-08T00:00:00Z,716,H1N1,3,polymerase PA,Russia,Russia,2/22/2011,polymerase PA [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEP71337.1,2011-10-08T00:00:00Z,566,H1N1,4,hemagglutinin,Russia,Russia,2/22/2011,hemagglutinin [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEP71338.1,2011-10-08T00:00:00Z,498,H1N1,5,nucleocapsid protein,Russia,Russia,2/22/2011,nucleocapsid protein [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEP71339.1,2011-10-08T00:00:00Z,469,H1N1,6,neuraminidase,Russia,Russia,2/22/2011,neuraminidase [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEP71340.1,2011-10-08T00:00:00Z,252,H1N1,7,matrix protein 1,Russia,Russia,2/22/2011,matrix protein 1 [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEP71341.1,2011-10-08T00:00:00Z,97,H1N1,7,matrix protein 2,Russia,Russia,2/22/2011,matrix protein 2 [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
