accession,segment,length,date,name
JX308949,4,1777,1/4/2010,A/Singapore/GP10/2010
JQ624642,4,1721,8/3/2011,A/Sydney/IM1/2011
KT426698,4,1701,1/28/2015,A/Bhopal/3500/2015
KP317269,4,1701,3/9/2012,A/Delhi/065/2012
KP317233,4,1701,8/15/2010,A/Haryana/029/2010
AB898075,4,1701,2/14/2011,A/Yamagata/203/2011
JF929771,4,1701,2/21/2011,A/Guangdong/029/2011
JQ693492,4,1746,10/25/2011,A/Czech Republic/112/2011(H1N1)
JQ796824,4,1701,1/24/2011,A/Zhejiang/TZ41/2011
KP317294,4,1701,2/26/2013,A/Uttar Pradesh/090/2013
KP317295,4,1701,2/28/2013,A/Uttar Pradesh/091/2013
CY103853,4,1701,2/20/2011,A/Tomsk/18/2011
JQ796826,4,1701,Jan-11,A/Zhejiang/JH11/2011
JF929757,4,1701,9/20/2010,A/Guangdong/420/2010
CY093032,4,1734,8/16/2010,A/Chile/71/2010
CY065027,4,1733,1/27/2010,A/New York/3835/2010(H1N1)
CY064987,4,1734,2/2/2010,A/California/VRDL6/2010(H1N1)
CY065043,4,1734,2/4/2010,A/New York/4294/2010(H1N1)
HQ595291,4,1701,3/31/2010,A/Piaui/23931/2010
HQ595293,4,1701,5/21/2010,A/Sao Paulo/45221/2010
CY098563,4,1734,9/22/2010,A/Bangkok/INS520/2010
CY061147,4,1721,1/12/2010,A/Texas/JMS408/2010(H1N1)
CY061195,4,1734,2/4/2010,A/Texas/JMS414/2010(H1N1)
CY089379,4,1734,3/25/2010,A/Managua/3246.01/2010(H1N1)
JQ396239,4,1777,4/18/2011,A/Kenya/146/2011
JQ396233,4,1777,8/1/2011,A/Kenya/136/2011
CY065019,4,1734,1/27/2010,A/New York/3834/2010(H1N1)
CY065107,4,1734,3/1/2010,A/New York/7480/2010(H1N1)
CY091716,4,1755,2/25/2011,A/Singapore/TT160/2011
CY065059,4,1739,2/21/2010,A/New York/6530/2010(H1N1)
AB551871,4,1701,1/4/2010,A/Nagasaki/HA-10-1/2010(H1N1)
AB551873,4,1701,1/4/2010,A/Nagasaki/HA-10-3/2010(H1N1)
AB551875,4,1701,1/12/2010,A/Nagasaki/HA-10-5/2010(H1N1)
AB551877,4,1701,1/12/2010,A/Nagasaki/HA-10-7/2010(H1N1)
AB551883,4,1701,1/20/2010,A/Nagasaki/HA-10-69/2010(H1N1)
AB551880,4,1701,1/12/2010,A/Nagasaki/HA-10-11/2010(H1N1)
AB551881,4,1701,1/18/2010,A/Nagasaki/HA-10-12/2010(H1N1)
KU695608,4,1745,Feb-15,A/India/Kol-4651/2015
CY060454,4,1701,Jan-10,A/Seoul/7/2010(H1N1)
CY062162,4,1734,1/25/2010,A/New York/3230/2010(H1N1)
CY062979,4,1721,1/5/2010,A/Bonn/INS178/2010(H1N1)
AB558546,4,1701,3/8/2010,A/Nagasaki/HA-10-25/2010(H1N1)
AB558550,4,1701,3/29/2010,A/Nagasaki/HA-10-30/2010(H1N1)
AB558542,4,1701,2/22/2010,A/Nagasaki/HA-10-20/2010(H1N1)
CY062098,4,1721,1/19/2010,A/New York/2175/2010(H1N1)
AB558544,4,1701,3/1/2010,A/Nagasaki/HA-10-22/2010(H1N1)
AB558547,4,1701,3/15/2010,A/Nagasaki/HA-10-26/2010(H1N1)
CY063003,4,1721,1/4/2010,A/Tallinn/INS182/2010(H1N1)
CY063011,4,1721,1/7/2010,A/Tallinn/INS183/2010(H1N1)
CY063840,4,1778,2/26/2010,A/Singapore/GP999/2010(H1N1)
CY063195,4,1721,1/27/2010,A/California/VRDL12/2010(H1N1)
CY062987,4,1721,1/5/2010,A/Vienna/INS179/2010(H1N1)
CY062106,4,1721,1/20/2010,A/New York/2372/2010(H1N1)
CY062122,4,1721,1/22/2010,A/New York/2648/2010(H1N1)
JQ396237,4,1776,3/15/2011,A/Kenya/143/2011
JQ396228,4,1776,3/31/2011,A/Kenya/129/2011
HQ228144,4,1704,1/12/2010,A/Finland/2/2010
CY063848,4,1778,1/27/2010,A/Singapore/KK066/2010(H1N1)
KT274558,4,1701,12/17/2013,A/Utah/31/2013
HQ228146,4,1704,2/2/2010,A/Finland/4/2010
KP317238,4,1701,8/7/2010,A/Goa/034/2010
KP317239,4,1701,10/9/2010,A/Goa/035/2010
KP317251,4,1701,6/7/2011,A/Goa/047/2011
KP317273,4,1701,12/19/2012,A/Delhi/069/2012
CY061123,4,1734,1/9/2010,A/Texas/JMS405/2010(H1N1)
CY066447,4,1734,1/9/2010,A/California/VRDL1/2010(H1N1)
CY067193,4,1750,Apr-10,A/Singapore/SS004/2010(H1N1)
CY163461,4,1701,9/5/2013,A/Washington/3473/2013
CY163463,4,1701,9/3/2013,A/Texas/3475/2013
CY071303,4,1734,1/25/2010,A/Athens/INS419/2010(H1N1)
CY071951,4,1701,Jan-10,A/Egypt/N00164/2010(H1N1)
CY071335,4,1734,2/25/2010,A/Bangkok/INS425/2010(H1N1)
CY071960,4,1701,Jan-10,A/Egypt/N00281/2010(H1N1)
CY072077,4,1701,3/13/2010,A/Alagoas/143/2010(H1N1)
CY072089,4,1701,3/4/2010,A/Rio de Janeiro/88/2010(H1N1)
CY071954,4,1701,Jan-10,A/Egypt/N00238/2010(H1N1)
CY071953,4,1701,Jan-10,A/Egypt/N00236/2010(H1N1)
CY071948,4,1701,Jan-10,A/Egypt/N00126/2010(H1N1)
KF280719,4,1701,2/10/2012,A/India/P12946/2012(H1N1)
KF280743,4,1701,2/15/2013,A/India/P131845/2013(H1N1)
AB745246,4,1744,Jan-10,A/Tottori/ST462/2010
AB745247,4,1744,Jan-10,A/Tottori/ST469/2010
AB745252,4,1744,Jan-10,A/Tottori/ST482/2010
AB745267,4,1744,Jan-11,A/Tottori/KK002/2011
