accession,length,date,name,
KC780547,1701,2010/01/01,A/New Jersey/01/2010,
KC780408,1701,2010/01/01,A/Utah/01/2010,
CY080265,1701,2010/01/02,A/Shantou/8064/2010,
KC781435,1701,2010/01/02,A/Hawaii/02/2010,
KC781359,1701,2010/01/02,A/Hawaii/02/2010,
JQ714167,1701,2010/01/02,A/Tianjinnankai/SWL49/2010,
KM213266,1777,2010/01/02,A/Oman/SQUH-32/2010,
KM213268,1777,2010/01/02,A/Oman/SQUH-34/2010,
CY065067,1734,2010/01/02,A/New York/7420/2010(H1N1),
KM213267,1777,2010/01/03,A/Oman/SQUH-33/2010,
JX308949,1777,2010/01/04,A/Singapore/GP10/2010,
AB551871,1701,2010/01/04,A/Nagasaki/HA-10-1/2010(H1N1),
AB551873,1701,2010/01/04,A/Nagasaki/HA-10-3/2010(H1N1),
CY063003,1721,2010/01/04,A/Tallinn/INS182/2010(H1N1),
KC781903,1701,2010/01/04,A/Alabama/01/2010,
KC780620,1701,2010/01/04,A/Alabama/01/2010,
GU562458,1752,2010/01/04,A/Karasuk/01/2010(H1N1),
AB551872,1701,2010/01/04,A/Nagasaki/HA-10-2/2010(H1N1),
AB551874,1701,2010/01/04,A/Nagasaki/HA-10-4/2010(H1N1),
JN588789,1701,2010/01/04,A/Cambodia/U094/2010,
CY096586,1734,2010/01/04,A/District of Columbia/INS525/2010(H1N1),
HM165185,1701,2010/01/04,A/Haishu/SWL110/2010(H1N1),
CY062979,1721,2010/01/05,A/Bonn/INS178/2010(H1N1),
CY062987,1721,2010/01/05,A/Vienna/INS179/2010(H1N1),
CY071055,1734,2010/01/05,A/Vienna/INS368/2010(H1N1),
CY080255,1701,2010/01/05,A/Shantou/8028/2010,
JX308957,1777,2010/01/05,A/Singapore/GP33/2010,
KC782014,1701,2010/01/05,A/Iowa/01/2010,
KC781020,1701,2010/01/05,A/New Mexico/01/2010,
JX308965,1777,2010/01/06,A/Singapore/GP64/2010,
CY080263,1701,2010/01/06,A/Shantou/8012/2010,
CY075059,1734,2010/01/06,A/Athens/INS392/2010(H1N1),
CY063011,1721,2010/01/07,A/Tallinn/INS183/2010(H1N1),
CY072526,1734,2010/01/07,A/Tallinn/INS374/2010(H1N1),
CY100508,1777,2010/01/07,A/Mexico City/INER17/2010,
CY056294,1701,2010/01/08,A/Henan/1/2010(H1N1),
CY063855,1778,2010/01/08,A/Singapore/TT017/2010(H1N1),
CY071207,1734,2010/01/08,A/Frankfurt/INS402/2010(H1N1),
CY061123,1734,2010/01/09,A/Texas/JMS405/2010(H1N1),
CY066447,1734,2010/01/09,A/California/VRDL1/2010(H1N1),
KC780617,1701,2010/01/09,A/North Carolina/02/2010,
KM213269,1777,2010/01/09,A/Oman/SQUH-36/2010,
GU576542,1701,2010/01/09,A/Ancona/01/2010(H1N1),
KP317223,1701,2010/01/10,A/Rajasthan/019/2010,
CY071159,1734,2010/01/11,A/Athens/INS394/2010(H1N1),
CY061139,1734,2010/01/11,A/Texas/JMS407/2010(H1N1),
HM752477,1752,2010/01/11,A/Thailand/CU-MV10/2010,
KM213270,1777,2010/01/11,A/Oman/SQUH-37/2010,
KT181148,1701,2010/01/11,A/Singapore/DMS67/2010,
CY066455,1734,2010/01/11,A/California/VRDL2/2010(H1N1),
CY100514,1777,2010/01/11,A/Mexico City/INER18/2010,
CY061147,1721,2010/01/12,A/Texas/JMS408/2010(H1N1),
AB551875,1701,2010/01/12,A/Nagasaki/HA-10-5/2010(H1N1),
AB551877,1701,2010/01/12,A/Nagasaki/HA-10-7/2010(H1N1),
AB551880,1701,2010/01/12,A/Nagasaki/HA-10-11/2010(H1N1),
HQ228144,1704,2010/01/12,A/Finland/2/2010,
JX309086,1777,2010/01/12,A/Singapore/TT31/2010,
JX309098,1753,2010/01/12,A/Singapore/GP166/2010,
KC780310,1701,2010/01/12,A/New York/02/2010,
KC781895,1701,2010/01/12,A/North Carolina/01/2010,
AB551876,1701,2010/01/12,A/Nagasaki/HA-10-6/2010(H1N1),
JQ612507,1701,2010/01/12,A/Hungary/2/2010,
JX309130,1777,2010/01/12,A/Singapore/KK25/2010,
CY075912,1744,2010/01/13,A/Ngp/NIV22704/2010(H1N1),
JX309102,1753,2010/01/13,A/Singapore/GP189/2010,
CY071135,1734,2010/01/13,A/Athens/INS389/2010(H1N1),
KC780646,1701,2010/01/13,A/Maryland/03/2010,
KC780947,1701,2010/01/13,A/Texas/01/2010,
