Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
AEO08998.1,,"Guldemir,D., Kalaycioglu,A.T., Durmaz,R., Korukluoglu,G., Altas,A.B., Ertek,M.",2011-09-12T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Turkey: Ankara,Turkey,,Homo sapiens,oronasopharynx,2010-12,,hemagglutinin [Influenza A virus (A/Ankara/01/2010(H1N1))]
AEO19895.1,,"Higgins,R.R., Li,A., Beniprashad,M.D., Low,D.E., Gubbay,J.B.",2011-09-14T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,Canada,Canada,,Homo sapiens,oronasopharynx,2010-12-30,,neuraminidase [Influenza A virus (A/Ontario/842001/2010(H1N1))]
AEP71334.1,,"Zhuravleva,M., Prilipov,A.G.",2011-10-08T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,GenBank,complete,H1N1,1,,polymerase PB2,Russia,Russia,,Homo sapiens,,2011-02-22,,polymerase PB2 [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEP71335.1,,"Zhuravleva,M., Prilipov,A.G.",2011-10-08T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,GenBank,complete,H1N1,2,,polymerase PB1,Russia,Russia,,Homo sapiens,,2011-02-22,,polymerase PB1 [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEP71336.1,,"Zhuravleva,M., Prilipov,A.G.",2011-10-08T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,GenBank,complete,H1N1,3,,polymerase PA,Russia,Russia,,Homo sapiens,,2011-02-22,,polymerase PA [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEP71337.1,,"Zhuravleva,M., Prilipov,A.G.",2011-10-08T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Russia,Russia,,Homo sapiens,,2011-02-22,,hemagglutinin [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEP71338.1,,"Zhuravleva,M., Prilipov,A.G.",2011-10-08T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,GenBank,complete,H1N1,5,,nucleocapsid protein,Russia,Russia,,Homo sapiens,,2011-02-22,,nucleocapsid protein [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEP71339.1,,"Zhuravleva,M., Prilipov,A.G.",2011-10-08T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,Russia,Russia,,Homo sapiens,,2011-02-22,,neuraminidase [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEP71340.1,,"Zhuravleva,M., Prilipov,A.G.",2011-10-08T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,GenBank,complete,H1N1,7,,matrix protein 1,Russia,Russia,,Homo sapiens,,2011-02-22,,matrix protein 1 [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEP71341.1,,"Zhuravleva,M., Prilipov,A.G.",2011-10-08T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,GenBank,complete,H1N1,7,,matrix protein 2,Russia,Russia,,Homo sapiens,,2011-02-22,,matrix protein 2 [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEP71342.1,,"Zhuravleva,M., Prilipov,A.G.",2011-10-08T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),219,GenBank,complete,H1N1,8,,nonstructural protein 1,Russia,Russia,,Homo sapiens,,2011-02-22,,nonstructural protein 1 [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEP71343.1,,"Zhuravleva,M., Prilipov,A.G.",2011-10-08T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,GenBank,complete,H1N1,8,,nuclear export protein,Russia,Russia,,Homo sapiens,,2011-02-22,,nuclear export protein [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEQ49973.1,,"Han,W., Xia,Y., Ya,X., Shen,Q., Pan,H., Shen,J.",2011-10-19T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,China,China,,Homo sapiens,,2010-09-23,,neuraminidase [Influenza A virus (A/Suzhou/S498/2010(H1N1))]
AEQ49974.1,,"Han,W., Xia,Y., Ya,X., Shen,Q., Pan,H., Shen,J.",2011-10-19T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,China,China,,Homo sapiens,,2011-01-11,,neuraminidase [Influenza A virus (A/Suzhou/J41/2011(H1N1))]
AEQ49975.1,,"Han,W., Xia,Y., Ya,X., Shen,Q., Pan,H., Shen,J.",2011-10-19T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,China,China,,Homo sapiens,,2011-01-17,,neuraminidase [Influenza A virus (A/Suzhou/S23/2011(H1N1))]
AEN68686.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,GenBank,complete,H5N1,8,,nonstructural protein 1,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2010-04-18,,nonstructural protein 1 [Influenza A virus (A/Cambodia/U0417030/2010(H5N1))]
AEN68687.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,GenBank,complete,H5N1,8,,nuclear export protein,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2010-04-18,,nuclear export protein [Influenza A virus (A/Cambodia/U0417030/2010(H5N1))]
AEN68688.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,GenBank,complete,H5N1,8,,nonstructural protein 1,Cambodia: Phnom Penh,Cambodia,,Homo sapiens,,2011-02-03,,nonstructural protein 1 [Influenza A virus (A/Cambodia/V0203306/2011(H5N1))]
AEN68689.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,GenBank,complete,H5N1,8,,nuclear export protein,Cambodia: Phnom Penh,Cambodia,,Homo sapiens,,2011-02-03,,"nuclear export protein, partial [Influenza A virus (A/Cambodia/V0203306/2011(H5N1))]"
AEN68690.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,GenBank,complete,H5N1,8,,nonstructural protein 1,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-02-17,,nonstructural protein 1 [Influenza A virus (A/Cambodia/V0219301/2011(H5N1))]
